,framework,login,seguidores,numero_prs_criados,numero_merges,numero_prs_criado_mergeado,numero_prs_criado_n_mergeado,numero_prs_n_mergeado_fechado,numero_prs_fechado,numero_merges_exclude_auto_merge,numero_revisoes_exclude_auto_revisado,auto_revisado,tempo experiencia(dias)
370,Azure,arlotito,,0,0,0,0,0,0,0,0,0,341
371,Azure,jovanpop-msft,19.0,0,3,0,0,0,3,3,3,0,258
372,Azure,Niharikadutta,,0,0,0,0,0,0,0,0,0,258
373,Azure,ruixinxu,3.0,0,5,0,0,0,5,5,5,0,453
374,Azure,Jing29,,0,0,0,0,0,0,0,0,0,453
375,Azure,kaiyuezhou,,0,0,0,0,0,0,0,0,0,453
376,Azure,saveenr,42.0,0,11,0,0,0,11,11,11,0,465
377,Azure,TwoUnder,6.0,0,1,0,0,0,1,1,1,0,0
378,Azure,rapoth,9.0,0,3,0,0,0,3,3,3,0,326
379,Azure,midesa,,0,0,0,0,0,0,0,0,0,326
