sample,tempo para fechamento,tempo merge,closed_count,open_count,merged_count,not_merged_count,framework,relative_open_count,relative_closed_count,relative_merged,relative_not_merged
Azure-Samples/azure-maps-html-marker-layer,86.5,125.0,2.0,0.0,1.0,1.0,Azure,0.0,100.0,50.0,50.0
Azure-Samples/azure-maps-selection-control,0.0,,1.0,0.0,0.0,1.0,Azure,0.0,100.0,0.0,100.0
Azure-Samples/azure-maps-services-ui,59.285714285714285,59.285714285714285,7.0,0.0,7.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/azure-media-player-samples,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-mfa-authentication-method-analysis,57.0,,1.0,1.0,0.0,1.0,Azure,50.0,50.0,0.0,100.0
Azure-Samples/azure-mfa-nps-extension-health-check,,,0.0,4.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-monitor-opencensus-python,59.0,59.0,2.0,1.0,2.0,0.0,Azure,33.33333333333333,66.66666666666666,100.0,0.0
Azure-Samples/azure-opensource-labs,1.0,1.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/azure-pipelines-variable-templates,,,0.0,1.0,0.0,0.0,Azure,100.0,0.0,,
Azure-Samples/azure-python-labs,53.029411764705884,32.86363636363637,34.0,7.0,22.0,12.0,Azure,17.073170731707318,82.92682926829268,64.70588235294117,35.294117647058826
Azure-Samples/azure-samples-net-management,17.75,17.75,8.0,1.0,8.0,0.0,Azure,11.11111111111111,88.88888888888889,100.0,0.0
Azure-Samples/azure-samples-python-management,18.153846153846153,7.363636363636363,13.0,0.0,11.0,2.0,Azure,0.0,100.0,84.61538461538461,15.384615384615385
Azure-Samples/azure-scale-set-smart-downscale,233.0,233.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/azure-sdk-for-go-samples,11.466666666666667,11.428571428571429,15.0,3.0,14.0,1.0,Azure,16.666666666666664,83.33333333333334,93.33333333333333,6.666666666666667
Azure-Samples/azure-sdk-for-java-storage-blob-upload-download,286.0,286.0,1.0,1.0,1.0,0.0,Azure,50.0,50.0,100.0,0.0
Azure-Samples/azure-sdk-for-js-keyvault-secret-get-set-managedid,0.0,0.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/azure-sdk-for-js-samples,14.2,14.571428571428571,30.0,0.0,28.0,2.0,Azure,0.0,100.0,93.33333333333333,6.666666666666667
Azure-Samples/azure-sdk-for-js-storage-blob-stream-nodejs,2.0,2.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/azure-sdk-for-js-storage-blob-upload-download,0.0,0.0,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/azure-sdk-for-net-storage-blob-upload-download,0.0,0.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/azure-sdk-for-python-keyvault-secrets-get-set-managedid,5.0,5.0,1.0,0.0,1.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/azure-sdk-for-python-storage-blob-upload-download,12.0,12.0,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/azure-search-dotnet-samples,18.22222222222222,14.423076923076923,27.0,1.0,26.0,1.0,Azure,3.571428571428571,96.42857142857143,96.29629629629629,3.7037037037037033
Azure-Samples/azure-search-java-samples,4.0,4.0,2.0,0.0,2.0,0.0,Azure,0.0,100.0,100.0,0.0
Azure-Samples/azure-search-javascript-samples,7.0,7.0,2.0,2.0,2.0,0.0,Azure,50.0,50.0,100.0,0.0
